date,avg_price,listing,new_permit,us_hpi
08/01/07,187288,21618,126,225.48
09/01/07,170534,21296,101,223.69
10/01/07,176751,20655,104,221.38
11/01/07,180234,19504,90,219.04
12/01/07,178644,18553,78,216.83
01/01/08,165584,18730,77,213.87
02/01/08,160577,19094,75,213.37
03/01/08,168384,19535,79,212.17
04/01/08,166147,20129,92,211.04
05/01/08,172106,20196,92,210.20
06/01/08,181000,20048,111,209.66
07/01/08,176788,19673,86,207.55
08/01/08,172188,19183,76,205.27
09/01/08,159812,18880,71,202.72
10/01/08,159711,17972,64,200.41
11/01/08,155195,16937,42,196.09
12/01/08,152678,15771,41,194.35
01/01/09,136747,16065,38,195.22
02/01/09,148447,16267,39,196.14
03/01/09,150788,16905,45,194.24
04/01/09,156318,16826,48,194.57
05/01/09,162190,16773,50,195.76
06/01/09,173445,16636,61,196.53
07/01/09,174691,16418,56,195.75
08/01/09,164871,16259,54,194.97
09/01/09,161144,15751,53,194.04
10/01/09,158074,15300,48,194.06
11/01/09,160621,14659,42,193.78
12/01/09,152858,14005,49,190.44
01/01/10,157833,14461,40,189.57
02/01/10,139939,15560,45,189.03
03/01/10,158815,16587,64,189.68
04/01/10,160683,16495,59,191.42
05/01/10,167528,17005,51,193.23
06/01/10,181861,17463,59,192.11
07/01/10,167460,17492,52,190.69
08/01/10,163842,18396,54,189.98
09/01/10,164092,17960,49,187.34
10/01/10,160478,17076,44,187.12
11/01/10,155891,16122,41,185.82
12/01/10,158120,15238,48,183.02
01/01/11,143626,15066,36,181.14
02/01/11,142211,15580,38,179.35
03/01/11,149984,16808,54,178.55
04/01/11,148623,17460,51,180.45
05/01/11,161572,17387,57,181.84
06/01/11,173646,17308,64,183.56
07/01/11,164426,16995,53,183.95
08/01/11,160606,16477,63,182.68
09/01/11,150165,15905,53,182.83
10/01/11,156573,18072,52,181.19
11/01/11,160154,16968,52,181.47
12/01/11,150103,15140,52,180.66
01/01/12,147057,15064,48,178.79
02/01/12,147269,15178,54,179.44
03/01/12,156487,15755,70,182.06
04/01/12,161739,16371,64,184.84
05/01/12,170214,16576,78,187.80
06/01/12,183209,16486,76,189.73
07/01/12,172284,16399,74,190.01
08/01/12,173451,16155,80,190.22
09/01/12,169689,15843,74,189.97
10/01/12,168800,15186,78,190.40
11/01/12,172458,14397,69,190.68
12/01/12,177266,12887,67,190.24
01/01/13,155057,12943,66,190.25
02/01/13,162341,12911,68,191.69
03/01/13,166460,13047,78,195.21
04/01/13,169115,13447,93,197.87
05/01/13,190675,14021,97,201.53
06/01/13,195735,14457,86,204.04
07/01/13,196360,14604,90,205.21
08/01/13,190168,14699,87,204.90
09/01/13,182732,14665,83,204.73
10/01/13,183809,14351,93,204.70
11/01/13,186525,13697,74,204.20
12/01/13,189702,12276,78,203.77
01/01/14,174823,12128,69,203.34
02/01/14,166946,12100,72,204.56
03/01/14,175543,12512,86,207.04
04/01/14,189138,13276,99,209.28
05/01/14,197519,13667,94,211.68
06/01/14,201792,13673,96,213.89
07/01/14,204294,13893,97,214.77
08/01/14,199893,13806,90,214.63
09/01/14,192675,13672,93,213.81
10/01/14,190166,13263,98,213.89
11/01/14,193878,12342,73,214.00
12/01/14,196368,11096,85,214.57
01/01/15,185971,10863,71,213.34
02/01/15,185499,10652,79,215.17
03/01/15,193998,10907,93,217.97
04/01/15,198266,11349,106,220.61
05/01/15,207171,11781,112,223.82
06/01/15,212129,11894,135,225.82
07/01/15,211726,11982,103,226.76
08/01/15,205051,11576,98,226.21
09/01/15,201718,11303,98,226.47
10/01/15,201478,11033,99,226.50
11/01/15,200964,10261,91,227.18
12/01/15,204792,9105,98,226.93
01/01/16,189675,8737,76,226.66
02/01/16,192127,8427,86,227.80
03/01/16,200189,8645,100,231.56
04/01/16,211634,9136,102,234.08
05/01/16,218549,9231,110,237.04
06/01/16,229159,9575,118,239.16
07/01/16,222936,9639,98,240.52
08/01/16,221861,9573,112,240.83
09/01/16,216451,8089,112,241.30
10/01/16,216336,8025,104,240.99
11/01/16,211976,7611,95,241.95
12/01/16,213467,6745,95,241.55
01/01/17,212966,6618,87,240.24
02/01/17,210432,6561,85,242.93
03/01/17,217014,6748,113,247.12
04/01/17,220283,6803,103,250.50
05/01/17,233044,6997,113,253.55
06/01/17,241567,7446,128,254.97
07/01/17,231105,7600,101,255.55
